,0
1979-01-02,6.504441355629069
1979-01-03,8.144771132664857
1979-01-04,10.802494149589164
1979-01-05,10.182778996576817
1979-01-06,10.057499427877758
1979-01-07,9.04835453568984
1979-01-08,9.949132628471716
1979-01-09,9.528234850098729
1979-01-10,9.1092576688103
1979-01-11,8.378098615147906
1979-01-12,7.027496825644562
1979-01-13,6.854511295590498
1979-01-14,8.216816642217452
1979-01-15,7.572925701100189
1979-01-16,8.631349692952313
1979-01-17,9.02863823579662
1979-01-18,10.244560745931324
1979-01-19,10.332924657043122
1979-01-20,9.456817916968989
1979-01-21,9.96561429577821
1979-01-22,9.225613449459216
1979-01-23,8.947665016388498
1979-01-24,8.505573669829062
1979-01-25,9.755457333921129
1979-01-26,9.78864777072721
1979-01-27,11.004383583151196
1979-01-28,10.62473044343949
1979-01-29,10.089590869351523
1979-01-30,9.602798026890298
1979-01-31,7.801581687185717
1979-02-01,6.55124151176301
1979-02-02,8.333837778573354
1979-02-03,7.341521913598456
1979-02-04,6.91634617057781
1979-02-05,7.451928809806532
1979-02-06,6.821020395760911
1979-02-07,5.677941927487609
1979-02-08,7.026950211658857
1979-02-09,5.5577782715370745
1979-02-10,6.92555710728692
1979-02-11,6.64075948826445
1979-02-12,4.5199424068047165
1979-02-13,6.986602611830108
1979-02-14,6.7126628241322805
1979-02-15,3.18720147480974
1979-02-16,5.985622292306459
1979-02-17,6.823859321478892
1979-02-18,7.560233947885706
1979-02-19,8.364597256291745
1979-02-20,5.83926532654732
1979-02-21,9.209144931735636
1979-02-22,11.227745362646374
1979-02-23,9.795758168692204
1979-02-24,9.503231857662342
1979-02-25,7.252735732801511
1979-02-26,7.8095858613049245
1979-02-27,6.184901747899232
1979-02-28,6.688328483037765
1979-03-01,9.625322141709091
1979-03-02,8.846804816161637
1979-03-03,6.421706916034623
1979-03-04,6.460024602572844
1979-03-05,6.135490954668967
1979-03-06,7.872761795999679
1979-03-07,7.13964783769444
1979-03-08,6.4850216958229225
1979-03-09,3.722505402204547
1979-03-10,5.63410517319744
1979-03-11,4.7679348379180055
1979-03-12,6.089882335292032
1979-03-13,3.416608964495765
1979-03-14,7.079063689065038
1979-03-15,4.265494123751353
1979-03-16,6.453380273279322
1979-03-17,5.903113801432994
1979-03-18,8.337429592058413
1979-03-19,9.06526690950659
1979-03-20,8.107714158257977
1979-03-21,9.807935011927556
1979-03-22,7.546067958362187
1979-03-23,6.442949193703214
1979-03-24,7.421516197649453
1979-03-25,7.587745182045637
1979-03-26,6.789238809869801
1979-03-27,5.401350636822087
1979-03-28,4.329918543772351
1979-03-29,5.413389030440044
1979-03-30,6.481319247878162
1979-03-31,6.072915748283094
1979-04-01,5.228184209374547
1979-04-02,4.256141738397275
1979-04-03,3.195926404256795
1979-04-04,-1.8622478773475564
1979-04-05,-6.362337485657406
1979-04-06,-1.411252022201495
1979-04-07,2.697771564261245
1979-04-08,5.3768225124021
1979-04-09,1.7088805559129696
1979-04-10,3.773142468182698
1979-04-11,6.019668407728545
1979-04-12,3.9406526965147455
1979-04-13,1.347015703831573
1979-04-14,1.27758729081944
1979-04-15,2.7405823874422026
1979-04-16,3.044067804653764
1979-04-17,5.353187340227635
1979-04-18,6.939589359950844
1979-04-19,5.073993321989292
1979-04-20,2.5789176924440085
1979-04-21,5.14776877615418
1979-04-22,3.892960214305901
1979-04-23,4.393641916361503
1979-04-24,5.772148175167501
1979-04-25,4.049527287328772
1979-04-26,2.6827520382842067
1979-04-27,4.233716163058546
1979-04-28,1.706990410493745
1979-04-29,-3.680033910763655
1979-04-30,-0.0400005101643046
1979-05-01,3.2494456676376444
1979-05-02,3.2811737983324747
1979-05-03,-2.6330584268591224
1979-05-04,-3.11864859331763
1979-05-05,-0.0340992476461678
1979-05-06,3.3710073648209686
1979-05-07,-1.48262469495603
1979-05-08,-1.223563874411525
1979-05-09,2.007406800766489
1979-05-10,2.6275671610821973
1979-05-11,0.5854572864639636
1979-05-12,-0.6660440729194761
1979-05-13,-0.4787212792019772
1979-05-14,1.204427164625656
1979-05-15,1.1352908107683106
1979-05-16,0.8627551282713171
1979-05-17,1.5395602660869372
1979-05-18,-2.708575656965081
1979-05-19,-0.3517976171769419
1979-05-20,0.674219211388845
1979-05-21,-0.0041946575914835
1979-05-22,-0.6525249835481759
1979-05-23,1.8507716069726143
1979-05-24,3.5480523259799384
1979-05-25,2.1900566809635507
1979-05-26,-1.017225267974652
1979-05-27,0.8032095989449886
1979-05-28,1.9144579036704383
1979-05-29,-7.469346417618681
1979-05-30,-2.6278725477841363
1979-05-31,1.7687450367740212
1979-06-01,3.297144114945411
1979-06-02,3.415036551226308
1979-06-03,-0.9594797814124264
1979-06-04,-2.524606171642972
1979-06-05,-0.5542559432159351
1979-06-06,-0.3047240222247751
1979-06-07,-4.06412327150548
1979-06-08,-3.186929927685867
1979-06-09,-2.311178522954492
1979-06-10,-2.621354902691792
1979-06-11,-4.941435422959103
1979-06-12,-3.564914850024934
1979-06-13,-3.5594391528267693
1979-06-14,-1.431994154334859
1979-06-15,-2.803846460593661
1979-06-16,-2.1339237616850824
1979-06-17,1.172121309152658
1979-06-18,0.036931931431809
1979-06-19,-0.9833853274647596
1979-06-20,-1.0187530253927548
1979-06-21,-0.7787749848664589
1979-06-22,0.5433518609527255
1979-06-23,-5.065607164024584
1979-06-24,-6.241234540836388
1979-06-25,-2.0500196024356683
1979-06-26,-1.0838678149887642
1979-06-27,0.1253913500396493
1979-06-28,0.3042477898154629
1979-06-29,1.3740928699336337
1979-06-30,-2.607278785128756
